,hero_name,stat_name,stat_category
213,Winston,Damage - Jump Pack,hero_specific
214,Winston,Damage - Primal Rage Leap,hero_specific
215,Winston,Damage - Primal Rage Melee,hero_specific
216,Winston,Damage - Primal Rage Total,hero_specific
217,Winston,Damage - Quick Melee,some_shared
218,Winston,Damage - Weapon,some_shared
219,Winston,Damage Blocked,some_shared
220,Winston,Damage Taken,general
221,Winston,Deaths,general
222,Winston,Eliminations,general
223,Winston,Environmental Kills,some_shared
224,Winston,Final Blows,general
225,Winston,Healing Received,general
226,Winston,Hero Damage Done,general
227,Winston,Jump Pack Kills,hero_specific
228,Winston,Knockback Kills,some_shared
229,Winston,Melee Final Blows,some_shared
230,Winston,Melee Kills,hero_specific
232,Winston,Objective Kills,general
233,Winston,Objective Time,general
234,Winston,Players Knocked Back,some_shared
235,Winston,Primal Rage Efficiency,hero_specific
236,Winston,Primal Rage Kills,hero_specific
237,Winston,Primal Rage Melee Accuracy,hero_specific
238,Winston,Primal Rage Melee Efficiency,hero_specific
239,Winston,Primal Rage Melee Hits,hero_specific
240,Winston,Primal Rage Melee Hits - Multiple,hero_specific
241,Winston,Primal Rage Melee Ticks,hero_specific
242,Winston,Quick Melee Accuracy,some_shared
243,Winston,Quick Melee Hits,some_shared
244,Winston,Quick Melee Ticks,some_shared
245,Winston,Tesla Cannon Accuracy,hero_specific
246,Winston,Tesla Cannon Efficiency,hero_specific
247,Winston,Tesla Cannon Hits,hero_specific
248,Winston,Tesla Cannon Hits - Multiple,hero_specific
249,Winston,Tesla Cannon Ticks,hero_specific
250,Winston,Time Alive,general
251,Winston,Time Building Ultimate,general
252,Winston,Time Discorded,some_shared
253,Winston,Time Elapsed per Ultimate Earned,general
254,Winston,Time Hacked,some_shared
255,Winston,Time Holding Ultimate,general
256,Winston,Time Played,general
257,Winston,Ultimates Earned - Fractional,general
258,Winston,Ultimates Used,general
259,Winston,Weapon Kills,hero_specific
260,Wrecking Ball,Average Time Alive,general
261,Wrecking Ball,Grappling Claw Uses,hero_specific
262,Wrecking Ball,Roll Uptime,hero_specific
263,Wrecking Ball,Roll Uptime Percentage,hero_specific
264,Wrecking Ball,Roll Uses,hero_specific
265,Wrecking Ball,Time Alive,general
266,Wrecking Ball,Time Building Ultimate,general
267,Wrecking Ball,Time Elapsed per Ultimate Earned,general
268,Wrecking Ball,Time Played,general
269,Wrecking Ball,Ultimates Earned - Fractional,general
295,Ana,All Damage Done,general
296,Ana,Assists,general
297,Ana,Average Time Alive,general
298,Ana,Barrier Damage Done,general
299,Ana,Biotic Grenade Kills,hero_specific
300,Ana,Damage - Biotic Grenade,hero_specific
301,Ana,Damage - Weapon,some_shared
302,Ana,Damage - Weapon Scoped,some_shared
303,Ana,Damage Taken,general
304,Ana,Deaths,general
305,Ana,Defensive Assists,some_shared
306,Ana,Eliminations,general
307,Ana,Final Blows,general
308,Ana,Healing - Biotic Grenade,hero_specific
309,Ana,Healing - Weapon,some_shared
310,Ana,Healing - Weapon Scoped,hero_specific
311,Ana,Healing Amplified,some_shared
312,Ana,Healing Done,some_shared
313,Ana,Healing Received,general
314,Ana,Hero Damage Done,general
315,Ana,Nano Boost Assists,hero_specific
316,Ana,Nano Boost Efficiency,hero_specific
317,Ana,Nano Boosts Applied,hero_specific
318,Ana,Objective Kills,general
319,Ana,Objective Time,general
320,Ana,Offensive Assists,some_shared
321,Ana,Quick Melee Ticks,some_shared
322,Ana,Scoped Accuracy,some_shared
323,Ana,Scoped Hits,some_shared
324,Ana,Scoped Shots,some_shared
325,Ana,Self Healing,some_shared
326,Ana,Self Healing Percent of Damage Taken,some_shared
327,Ana,Shots Fired,some_shared
328,Ana,Shots Hit,some_shared
329,Ana,Shots Missed,some_shared
330,Ana,Sleep Dart Shots,hero_specific
331,Ana,Time Alive,general
332,Ana,Time Building Ultimate,general
333,Ana,Time Elapsed per Ultimate Earned,general
334,Ana,Time Holding Ultimate,general
335,Ana,Time Played,general
336,Ana,Ultimates Earned - Fractional,general
337,Ana,Ultimates Used,general
338,Ana,Unscoped Accuracy,hero_specific
339,Ana,Unscoped Hits,hero_specific
340,Ana,Unscoped Shots,hero_specific
341,Ana,Weapon Accuracy,some_shared
342,Baptiste,All Damage Done,general
343,Baptiste,Amplification Matrix Casts,hero_specific
344,Baptiste,Assists,general
345,Baptiste,Average Time Alive,general
346,Baptiste,Barrier Damage Done,general
347,Baptiste,Biotic Launcher Healing Explosions,hero_specific
348,Baptiste,Biotic Launcher Healing Shots,hero_specific
349,Baptiste,Critical Hit Accuracy,some_shared
350,Baptiste,Critical Hits,some_shared
351,Baptiste,Damage - Weapon Primary,some_shared
352,Baptiste,Damage Prevented,hero_specific
353,Baptiste,Damage Taken,general
354,Baptiste,Deaths,general
355,Baptiste,Defensive Assists,some_shared
356,Baptiste,Eliminations,general
357,Baptiste,Healing - Biotic Launcher,hero_specific
358,Baptiste,Healing - Regenerative Burst,hero_specific
359,Baptiste,Healing Accuracy,hero_specific
360,Baptiste,Healing Done,some_shared
361,Baptiste,Healing Received,general
362,Baptiste,Hero Damage Done,general
363,Baptiste,Quick Melee Ticks,some_shared
364,Baptiste,Self Healing,some_shared
365,Baptiste,Self Healing Percent of Damage Taken,some_shared
366,Baptiste,Shots Fired,some_shared
367,Baptiste,Shots Hit,some_shared
368,Baptiste,Shots Missed,some_shared
369,Baptiste,Time Alive,general
370,Baptiste,Time Building Ultimate,general
371,Baptiste,Time Elapsed per Ultimate Earned,general
372,Baptiste,Time Hacked,some_shared
373,Baptiste,Time Holding Ultimate,general
374,Baptiste,Time Played,general
375,Baptiste,Ultimates Earned - Fractional,general
376,Baptiste,Ultimates Used,general
377,Baptiste,Weapon Accuracy,some_shared
378,Moira,All Damage Done,general
379,Moira,Assists,general
380,Moira,Average Time Alive,general
381,Moira,Barrier Damage Done,general
382,Moira,Biotic Orb Damage Efficiency,hero_specific
383,Moira,Biotic Orb Healing Efficiency,hero_specific
384,Moira,Biotic Orb Maximum Damage,hero_specific
385,Moira,Biotic Orb Maximum Healing,hero_specific
386,Moira,Coalescence Healing,hero_specific
387,Moira,Coalescence Kills,hero_specific
388,Moira,Coalesence - Damage per Use,hero_specific
389,Moira,Coalesence - Healing per Use,hero_specific
390,Moira,Damage - Biotic Orb,hero_specific
391,Moira,Damage - Coalescence,hero_specific
392,Moira,Damage - Quick Melee,some_shared
393,Moira,Damage - Weapon,some_shared
394,Moira,Damage Taken,general
395,Moira,Deaths,general
396,Moira,Defensive Assists,some_shared
397,Moira,Eliminations,general
398,Moira,Final Blows,general
399,Moira,Healing - Biotic Orb,hero_specific
400,Moira,Healing - Coalescence,hero_specific
401,Moira,Healing - Secondary Fire,hero_specific
402,Moira,Healing Done,some_shared
403,Moira,Healing Received,general
404,Moira,Hero Damage Done,general
405,Moira,Objective Kills,general
406,Moira,Objective Time,general
407,Moira,Quick Melee Accuracy,some_shared
408,Moira,Quick Melee Hits,some_shared
409,Moira,Quick Melee Ticks,some_shared
410,Moira,Secondary Fire Accuracy,some_shared
411,Moira,Secondary Fire Hits,hero_specific
412,Moira,Secondary Fire Ticks,hero_specific
413,Moira,Self Healing,some_shared
414,Moira,Self Healing Percent of Damage Taken,some_shared
415,Moira,Time Alive,general
416,Moira,Time Building Ultimate,general
417,Moira,Time Discorded,some_shared
418,Moira,Time Elapsed per Ultimate Earned,general
419,Moira,Time Holding Ultimate,general
420,Moira,Time Played,general
421,Moira,Ultimates Earned - Fractional,general
422,Moira,Ultimates Used,general
448,D.Va,All Damage Done,general
449,D.Va,Assists,general
450,D.Va,Average Time Alive,general
451,D.Va,Barrier Damage Done,general
452,D.Va,Critical Hit Accuracy,some_shared
453,D.Va,Critical Hits,some_shared
454,D.Va,Damage - Boosters,hero_specific
455,D.Va,Damage - Micro Missiles,hero_specific
456,D.Va,Damage - Pistol,hero_specific
457,D.Va,Damage - Quick Melee,some_shared
458,D.Va,Damage - Weapon,some_shared
459,D.Va,Damage Blocked,some_shared
460,D.Va,Damage Taken,general
461,D.Va,Deaths,general
462,D.Va,Eliminations,general
463,D.Va,Environmental Deaths,some_shared
464,D.Va,Final Blows,general
465,D.Va,Healing Received,general
466,D.Va,Hero Damage Done,general
467,D.Va,Knockback Kills,some_shared
468,D.Va,Mech Deaths,hero_specific
469,D.Va,Mechs Called,hero_specific
470,D.Va,Objective Kills,general
471,D.Va,Objective Time,general
472,D.Va,Quick Melee Accuracy,some_shared
473,D.Va,Quick Melee Hits,some_shared
474,D.Va,Quick Melee Ticks,some_shared
475,D.Va,Self-Destructs,hero_specific
476,D.Va,Shots Fired,some_shared
477,D.Va,Shots Hit,some_shared
478,D.Va,Shots Missed,some_shared
479,D.Va,Time Alive,general
480,D.Va,Time Building Ultimate,general
481,D.Va,Time Discorded,some_shared
482,D.Va,Time Elapsed per Ultimate Earned,general
483,D.Va,Time Hacked,some_shared
484,D.Va,Time Holding Ultimate,general
485,D.Va,Time Played,general
486,D.Va,Ultimates Earned - Fractional,general
487,D.Va,Ultimates Negated,some_shared
488,D.Va,Ultimates Used,general
489,D.Va,Weapon Accuracy,some_shared
517,Brigitte,All Damage Done,general
518,Brigitte,Armor - Rally,hero_specific
519,Brigitte,Armor Provided,hero_specific
520,Brigitte,Assists,general
521,Brigitte,Average Time Alive,general
522,Brigitte,Barrier Damage Done,general
523,Brigitte,Damage - Shield Bash,hero_specific
524,Brigitte,Damage - Weapon,some_shared
525,Brigitte,Damage Blocked,some_shared
526,Brigitte,Damage Taken,general
527,Brigitte,Deaths,general
528,Brigitte,Defensive Assists,some_shared
529,Brigitte,Eliminations,general
530,Brigitte,Final Blows,general
531,Brigitte,Healing - Inspire,hero_specific
532,Brigitte,Healing - Repair Pack,hero_specific
533,Brigitte,Healing Done,some_shared
534,Brigitte,Healing Received,general
535,Brigitte,Hero Damage Done,general
536,Brigitte,Inspire Uptime,hero_specific
537,Brigitte,Inspire Uptime Percentage,hero_specific
538,Brigitte,Knockback Kills,some_shared
539,Brigitte,Objective Kills,general
540,Brigitte,Objective Time,general
541,Brigitte,Offensive Assists,some_shared
542,Brigitte,Rally Armor Efficiency,hero_specific
543,Brigitte,Self Healing,some_shared
544,Brigitte,Self Healing Percent of Damage Taken,some_shared
545,Brigitte,Time Alive,general
546,Brigitte,Time Building Ultimate,general
547,Brigitte,Time Elapsed per Ultimate Earned,general
548,Brigitte,Time Holding Ultimate,general
549,Brigitte,Time Played,general
550,Brigitte,Ultimates Earned - Fractional,general
551,Brigitte,Ultimates Used,general
552,Lúcio,All Damage Done,general
553,Lúcio,Amped Heal Activations,hero_specific
554,Lúcio,Amped Speed Activations,hero_specific
555,Lúcio,Assists,general
556,Lúcio,Average Time Alive,general
557,Lúcio,Barrier Damage Done,general
558,Lúcio,Critical Hit Accuracy,some_shared
559,Lúcio,Critical Hits,some_shared
560,Lúcio,Damage - Quick Melee,some_shared
561,Lúcio,Damage - Weapon Primary,some_shared
562,Lúcio,Damage - Weapon Secondary,some_shared
563,Lúcio,Damage Taken,general
564,Lúcio,Deaths,general
565,Lúcio,Defensive Assists,some_shared
566,Lúcio,Eliminations,general
567,Lúcio,Final Blows,general
568,Lúcio,Heal Song Time Elapsed,hero_specific
569,Lúcio,Healing - Healing Boost,hero_specific
570,Lúcio,Healing - Healing Boost Amped,hero_specific
571,Lúcio,Healing Done,some_shared
572,Lúcio,Healing Received,general
573,Lúcio,Hero Damage Done,general
574,Lúcio,Knockback Kills,some_shared
575,Lúcio,Objective Kills,general
576,Lúcio,Objective Time,general
577,Lúcio,Offensive Assists,some_shared
578,Lúcio,Players Knocked Back,some_shared
579,Lúcio,Quick Melee Accuracy,some_shared
580,Lúcio,Quick Melee Hits,some_shared
581,Lúcio,Quick Melee Ticks,some_shared
582,Lúcio,Self Healing,some_shared
583,Lúcio,Self Healing Percent of Damage Taken,some_shared
584,Lúcio,Shots Fired,some_shared
585,Lúcio,Shots Hit,some_shared
586,Lúcio,Shots Missed,some_shared
587,Lúcio,Sound Barrier Casts,hero_specific
588,Lúcio,Sound Barrier Efficiency,hero_specific
589,Lúcio,Sound Barriers Provided,hero_specific
590,Lúcio,Soundwave Kills,hero_specific
